,VANILLA,HUJI,HUJI_ENSEMBLE,RASOOLINI,RASOOLINI_ENSEMBLE,HUJI_ENSEMBLE-VANILLA
french,79.2,76.3,79.4,79.9,79.9,0.20000000000000284
irish,38.9,38.4,41.5,42.4,41.6,2.6000000000000014
korean,46.9,49.2,49.2,46.4,46.2,2.3000000000000043
persian,52.3,49.9,52.7,54.1,54.1,0.4000000000000057
arabic,52.3,50.1,51.2,53.2,53.7,-1.0999999999999943
spanish,77.2,75.8,77.1,77.3,77.2,-0.10000000000000853
_,62.4,,,,,
english,92.2,,,,,
hindi,49.8,50.9,53.9,49.9,50.9,4.100000000000001
turkish,50.1,,,,,
german,80.6,77.1,80.7,78.3,78.1,0.10000000000000853
indonesian,68.1,,,,,
thai,55.2,56.3,58.7,53.4,54.5,3.5
