,VANILLA,HUJI,HUJI_ENSEMBLE,RASOOLINI,RASOOLINI_ENSEMBLE,HUJI_ENSEMBLE-VANILLA
french,85.0,82.0,84.9,84.5,84.4,-0.09999999999999432
irish,54.4,54.4,58.4,60.0,59.0,4.0
korean,64.0,66.6,65.8,63.1,63.1,1.7999999999999972
persian,66.2,62.9,66.4,66.4,66.5,0.20000000000000284
arabic,67.5,65.9,66.5,66.9,67.6,-1.0
spanish,84.7,83.6,84.8,84.4,84.3,0.09999999999999432
_,77.5,,,,,
english,94.0,,,,,
hindi,60.4,61.1,63.9,60.7,61.4,3.5
turkish,69.9,,,,,
german,86.6,83.5,86.7,85.5,85.3,0.10000000000000853
indonesian,79.5,,,,,
thai,74.2,74.7,76.6,73.7,74.6,2.3999999999999915
